sku_id,week_start,forecast,forecast_method,forecast_confidence
SKU001,2026-01-05,497.5514867334123,primary_ml,Established
SKU002,2026-01-05,489.0105912698368,primary_ml,Established
SKU003,2026-01-05,482.9659719663315,primary_ml,Established
SKU007,2026-01-05,502.64425745877855,primary_ml,Established
SKU009,2026-01-05,485.8195396181542,primary_ml,Established
SKU010,2026-01-05,471.3058834599627,primary_ml,Established
SKU011,2026-01-05,476.3033165210408,primary_ml,Established
SKU012,2026-01-05,472.017864027439,primary_ml,Established
SKU013,2026-01-05,505.8998817676428,primary_ml,Established
SKU014,2026-01-05,491.3116606629019,primary_ml,Established
SKU015,2026-01-05,493.05127928567134,primary_ml,Established
SKU017,2026-01-05,487.4776327933524,primary_ml,Established
SKU018,2026-01-05,488.3851650141691,primary_ml,Established
SKU019,2026-01-05,485.9859653119465,primary_ml,Established
SKU020,2026-01-05,482.4195938163611,primary_ml,Established
SKU021,2026-01-05,470.2935444545508,primary_ml,Established
SKU023,2026-01-05,479.3510148597863,primary_ml,Established
SKU024,2026-01-05,480.0864937904665,primary_ml,Established
SKU025,2026-01-05,484.05025383589145,primary_ml,Established
SKU026,2026-01-05,488.2636455279804,primary_ml,Established
SKU027,2026-01-05,507.5965703019969,primary_ml,Established
SKU029,2026-01-05,482.7052201733034,primary_ml,Established
SKU030,2026-01-05,475.2874577042457,primary_ml,Established
SKU031,2026-01-05,452.2688178483494,primary_ml,Established
SKU032,2026-01-05,459.62123326659696,primary_ml,Established
SKU033,2026-01-05,451.5210655917079,primary_ml,Established
SKU034,2026-01-05,468.2108752836619,primary_ml,Established
SKU035,2026-01-05,454.7257235616627,primary_ml,Established
SKU036,2026-01-05,461.1391044517584,primary_ml,Established
SKU037,2026-01-05,465.52570210123014,primary_ml,Established
SKU038,2026-01-05,454.4438504903452,primary_ml,Established
SKU039,2026-01-05,478.8414625119343,primary_ml,Established
SKU041,2026-01-05,448.4980067111776,primary_ml,Established
SKU042,2026-01-05,479.80521321424806,primary_ml,Established
SKU043,2026-01-05,468.3115718998656,primary_ml,Established
SKU044,2026-01-05,448.76784637729304,primary_ml,Established
SKU045,2026-01-05,478.59820385051086,primary_ml,Established
SKU046,2026-01-05,455.8359412085527,primary_ml,Established
SKU047,2026-01-05,453.7419922462858,primary_ml,Established
SKU048,2026-01-05,487.0550491300836,primary_ml,Established
SKU050,2026-01-05,467.4390434272032,primary_ml,Established
SKU052,2026-01-05,452.94675302083914,primary_ml,Established
SKU053,2026-01-05,491.03038419028894,primary_ml,Established
SKU054,2026-01-05,481.62759131757855,primary_ml,Established
SKU056,2026-01-05,461.1040672246518,primary_ml,Established
SKU057,2026-01-05,424.30274180153685,primary_ml,Established
SKU058,2026-01-05,376.69389341230897,primary_ml,Established
SKU059,2026-01-05,403.4714580190596,primary_ml,Established
SKU060,2026-01-05,402.2406774094624,primary_ml,Established
SKU061,2026-01-05,370.23433257618115,primary_ml,Established
SKU063,2026-01-05,364.7411324870561,primary_ml,Established
SKU064,2026-01-05,410.4801739664352,primary_ml,Established
SKU065,2026-01-05,416.6908395712372,primary_ml,Established
SKU066,2026-01-05,401.5264318789886,primary_ml,Established
SKU069,2026-01-05,390.17879147936947,primary_ml,Established
SKU070,2026-01-05,416.7500471211672,primary_ml,Established
SKU072,2026-01-05,402.7861416283559,primary_ml,Established
SKU073,2026-01-05,411.26059021667993,primary_ml,Established
SKU074,2026-01-05,406.4307973120336,primary_ml,Established
SKU075,2026-01-05,372.46638395702365,primary_ml,Established
SKU076,2026-01-05,351.12870967074156,primary_ml,Established
SKU077,2026-01-05,348.98971771517074,primary_ml,Established
SKU078,2026-01-05,347.0734603654854,primary_ml,Established
SKU080,2026-01-05,351.18658678601753,primary_ml,Established
SKU081,2026-01-05,352.925415906962,primary_ml,Established
SKU082,2026-01-05,351.88226103771325,primary_ml,Established
SKU085,2026-01-05,353.82442524103186,primary_ml,Established
SKU086,2026-01-05,351.9586827552695,primary_ml,Established
SKU087,2026-01-05,377.1363994418706,primary_ml,Established
SKU089,2026-01-05,380.3883729636404,primary_ml,Established
SKU090,2026-01-05,353.43937886911556,primary_ml,Established
SKU092,2026-01-05,345.9419066381375,primary_ml,Established
SKU093,2026-01-05,343.2387412758664,primary_ml,Established
SKU094,2026-01-05,330.88736763623456,primary_ml,Established
SKU095,2026-01-05,346.70927865208864,primary_ml,Established
SKU097,2026-01-05,334.1524009216369,primary_ml,Established
SKU098,2026-01-05,346.2487689341156,primary_ml,Established
SKU001,2026-01-12,472.6434835711666,primary_ml,Established
SKU002,2026-01-12,462.733092414745,primary_ml,Established
SKU003,2026-01-12,470.05953069742105,primary_ml,Established
SKU007,2026-01-12,455.94175709158145,primary_ml,Established
SKU009,2026-01-12,474.5792298959312,primary_ml,Established
SKU010,2026-01-12,455.5057503869494,primary_ml,Established
SKU011,2026-01-12,450.2273617743221,primary_ml,Established
SKU012,2026-01-12,453.3454881902975,primary_ml,Established
SKU013,2026-01-12,465.9408989591843,primary_ml,Established
SKU014,2026-01-12,465.6711861032197,primary_ml,Established
SKU015,2026-01-12,465.8363286366824,primary_ml,Established
SKU017,2026-01-12,454.0615671338484,primary_ml,Established
SKU018,2026-01-12,460.7062135814931,primary_ml,Established
SKU019,2026-01-12,467.35747407896184,primary_ml,Established
SKU020,2026-01-12,465.55614918556665,primary_ml,Established
SKU021,2026-01-12,448.8530667824376,primary_ml,Established
SKU023,2026-01-12,454.2021640520799,primary_ml,Established
SKU024,2026-01-12,480.08411846345166,primary_ml,Established
SKU025,2026-01-12,466.7313131472785,primary_ml,Established
SKU026,2026-01-12,464.1976655060633,primary_ml,Established
SKU027,2026-01-12,490.0429670939672,primary_ml,Established
SKU029,2026-01-12,472.0368604995053,primary_ml,Established
SKU030,2026-01-12,470.26584045286126,primary_ml,Established
SKU031,2026-01-12,444.18036540384776,primary_ml,Established
SKU032,2026-01-12,442.51786546684633,primary_ml,Established
SKU033,2026-01-12,443.7063131156696,primary_ml,Established
SKU034,2026-01-12,453.2351854927416,primary_ml,Established
SKU035,2026-01-12,444.18036540384776,primary_ml,Established
SKU036,2026-01-12,448.93758050418927,primary_ml,Established
SKU037,2026-01-12,446.47557393234194,primary_ml,Established
SKU038,2026-01-12,443.5130577612548,primary_ml,Established
SKU039,2026-01-12,448.7279487993508,primary_ml,Established
SKU041,2026-01-12,444.80547792540307,primary_ml,Established
SKU042,2026-01-12,450.0349065608157,primary_ml,Established
SKU043,2026-01-12,452.00943941760926,primary_ml,Established
SKU044,2026-01-12,443.6201749772166,primary_ml,Established
SKU045,2026-01-12,417.6790377627512,primary_ml,Established
SKU046,2026-01-12,448.578989473776,primary_ml,Established
SKU047,2026-01-12,431.1713127534997,primary_ml,Established
SKU048,2026-01-12,454.5345443609668,primary_ml,Established
SKU050,2026-01-12,447.3871988863212,primary_ml,Established
SKU052,2026-01-12,411.3510121584643,primary_ml,Established
SKU053,2026-01-12,447.0839063058313,primary_ml,Established
SKU054,2026-01-12,449.7664647173167,primary_ml,Established
SKU056,2026-01-12,443.8742043646634,primary_ml,Established
SKU057,2026-01-12,374.4914628763261,primary_ml,Established
SKU058,2026-01-12,355.05821828178034,primary_ml,Established
SKU059,2026-01-12,366.873084848489,primary_ml,Established
SKU060,2026-01-12,373.8563211834784,primary_ml,Established
SKU061,2026-01-12,354.2621457937177,primary_ml,Established
SKU063,2026-01-12,358.9255889412982,primary_ml,Established
SKU064,2026-01-12,368.575679238293,primary_ml,Established
SKU065,2026-01-12,379.5223763899873,primary_ml,Established
SKU066,2026-01-12,378.0049633389788,primary_ml,Established
SKU069,2026-01-12,362.9043201193951,primary_ml,Established
SKU070,2026-01-12,373.21580442901376,primary_ml,Established
SKU072,2026-01-12,374.7099253869314,primary_ml,Established
SKU073,2026-01-12,377.9426237922463,primary_ml,Established
SKU074,2026-01-12,382.52824672427096,primary_ml,Established
SKU075,2026-01-12,354.2311265392908,primary_ml,Established
SKU076,2026-01-12,333.58360806135397,primary_ml,Established
SKU077,2026-01-12,341.029830649844,primary_ml,Established
SKU078,2026-01-12,332.91478164674186,primary_ml,Established
SKU080,2026-01-12,333.02905331251657,primary_ml,Established
SKU081,2026-01-12,333.016697831068,primary_ml,Established
SKU082,2026-01-12,337.0454145011081,primary_ml,Established
SKU085,2026-01-12,340.9317672077786,primary_ml,Established
