sku_id,week_start,forecast,forecast_method,forecast_confidence
SKU004,2026-01-05,519.125,category_fallback,Medium
SKU005,2026-01-05,519.1860465116279,category_fallback,Medium
SKU006,2026-01-05,507.725,category_fallback,Medium
SKU008,2026-01-05,522.4545454545455,category_fallback,Medium
SKU016,2026-01-05,492.3211669921875,category_fallback,Low
SKU022,2026-01-05,524.925925925926,category_fallback,Medium
SKU028,2026-01-05,527.0,category_fallback,Medium
SKU040,2026-01-05,492.2708333333333,category_fallback,Medium
SKU049,2026-01-05,484.35,category_fallback,Medium
SKU051,2026-01-05,469.41379310344826,category_fallback,Medium
SKU055,2026-01-05,491.3,category_fallback,Medium
SKU062,2026-01-05,391.78895563770794,category_fallback,Low
SKU067,2026-01-05,405.94871794871796,category_fallback,Medium
SKU068,2026-01-05,408.4130434782609,category_fallback,Medium
SKU071,2026-01-05,425.12228897104126,category_fallback,Low
SKU079,2026-01-05,323.4497407593243,category_fallback,Low
SKU083,2026-01-05,374.40425531914894,category_fallback,Medium
SKU084,2026-01-05,365.74140742599093,category_fallback,Low
SKU088,2026-01-05,387.666407425991,category_fallback,Low
SKU091,2026-01-05,345.2972972972973,category_fallback,Medium
SKU096,2026-01-05,351.8706204736739,category_fallback,Low
SKU099,2026-01-05,341.14285714285717,category_fallback,Medium
SKU100,2026-01-05,335.12886223191566,category_fallback,Low
SKU004,2026-01-12,519.125,category_fallback,Medium
SKU005,2026-01-12,519.1860465116279,category_fallback,Medium
SKU006,2026-01-12,507.725,category_fallback,Medium
SKU008,2026-01-12,522.4545454545455,category_fallback,Medium
SKU016,2026-01-12,492.3211669921875,category_fallback,Low
SKU022,2026-01-12,524.925925925926,category_fallback,Medium
SKU028,2026-01-12,527.0,category_fallback,Medium
SKU040,2026-01-12,492.2708333333333,category_fallback,Medium
SKU049,2026-01-12,484.35,category_fallback,Medium
SKU051,2026-01-12,469.41379310344826,category_fallback,Medium
SKU055,2026-01-12,491.3,category_fallback,Medium
SKU062,2026-01-12,391.78895563770794,category_fallback,Low
SKU067,2026-01-12,405.94871794871796,category_fallback,Medium
SKU068,2026-01-12,408.4130434782609,category_fallback,Medium
SKU071,2026-01-12,425.12228897104126,category_fallback,Low
SKU079,2026-01-12,323.4497407593243,category_fallback,Low
SKU083,2026-01-12,374.40425531914894,category_fallback,Medium
SKU084,2026-01-12,365.74140742599093,category_fallback,Low
SKU088,2026-01-12,387.666407425991,category_fallback,Low
SKU091,2026-01-12,345.2972972972973,category_fallback,Medium
SKU096,2026-01-12,351.8706204736739,category_fallback,Low
SKU099,2026-01-12,341.14285714285717,category_fallback,Medium
SKU100,2026-01-12,335.12886223191566,category_fallback,Low
SKU004,2026-01-19,519.125,category_fallback,Medium
SKU005,2026-01-19,519.1860465116279,category_fallback,Medium
SKU006,2026-01-19,507.725,category_fallback,Medium
SKU008,2026-01-19,522.4545454545455,category_fallback,Medium
